Zona,Peso_Min_kg,Peso_Max_kg,Costo_Estandar,Costo_Express,Tiempo_Estandar_Dias,Tiempo_Express_Dias
Local,0.0,1.0,5.0,10.0,2,1
Local,1.01,5.0,7.0,12.0,2,1
Local,5.01,15.0,10.0,15.0,2,1
Local,15.01,30.0,15.0,25.0,3,2
Local,30.01,999.0,25.0,40.0,3,2
Nacional_Cercano,0.0,1.0,7.0,15.0,3,1
Nacional_Cercano,1.01,5.0,10.0,20.0,3,2
Nacional_Cercano,5.01,15.0,15.0,30.0,4,2
Nacional_Cercano,15.01,30.0,25.0,50.0,5,3
Nacional_Cercano,30.01,999.0,40.0,80.0,5,4
Nacional_Lejano,0.0,1.0,10.0,20.0,5,2
Nacional_Lejano,1.01,5.0,15.0,25.0,5,2
Nacional_Lejano,5.01,15.0,20.0,35.0,6,3
Nacional_Lejano,15.01,30.0,30.0,60.0,7,4
Nacional_Lejano,30.01,999.0,50.0,100.0,8,5
